11002-12335,75319401,328,4358
10761-11925,27280561,238,2853
10416-10370,20438341,222,2818
10725-12709,19374959,202,2044
10938-12546,19092397,282,2769
10586-10463,18388556,199,1501
10671-12852,18176041,221,2390
10503-14515,17526699,220,2704
10961-13268,16291195,158,1140
10076-11950,15440429,185,1623
10596-13386,14755535,198,2044
10992-11510,14469473,215,1555
11046-11448,14465653,208,1713
11115-13834,13965215,170,1656
10777-13591,13949677,247,2787
11018-13923,13469944,200,2089
10514-11808,13458781,218,2666
10579-11406,13286158,222,1984
11016-14260,12979333,167,1647
10468-12020,12911712,203,2683
10396-12118,12355324,169,1179
10968-10991,12241349,177,2115
11046-12429,12048460,181,1827
11102-12598,11484360,188,1335
10579-10323,11386470,185,1624
10941-12192,11252202,183,1576
10654-10235,11136227,220,2139
10413-12464,11113973,144,1242
10238-11261,10925596,167,1551
10748-10206,10776902,192,1721
10373-11652,10592129,197,2018
10777-10599,10514141,199,1378
10970-10938,10423018,146,1094
10641-12880,10370358,173,1719
10410-12945,10259214,165,1695
10174-13475,10038075,174,1444
10937-12490,10009412,179,1596
10893-13373,9998945,163,1665
10319-13840,9995403,171,1098
10405-10965,9887874,157,1281
10076-10199,9456808,197,1044
10669-10563,9224501,181,1353
10886-10612,9210866,156,1255
10650-13059,9174054,150,1237
10748-13808,9085605,150,1374
10600-10658,9078357,203,1773
10898-10454,9053774,193,2187
10272-12161,8845841,164,2205
10990-13327,8455116,164,1662
10968-10015,8413575,162,1514
10687-11920,8326496,192,1491
10796-11323,8305027,149,1245
10847-11911,8283141,144,1546
10997-12068,8208820,167,1983
10970-13040,8141956,161,1284
10909-13143,8128413,152,1158
10936-10105,7998747,150,1425
10798-11729,7821901,173,1359
10517-11621,7785983,153,1375
10212-11354,7750637,158,1008
11065-10926,7748538,195,1512
10259-13152,7682027,169,2166
10664-10156,7641600,137,712
10680-14405,7641289,135,1356
11009-11315,7625504,147,1305
10512-11376,7622524,141,1372
10910-11022,7516919,108,948
10161-11913,7468647,172,1647
10847-14090,7399039,144,1317
10748-12188,7395046,162,1068
11046-13004,7352413,194,1887
10761-12841,7323936,183,1971
11106-11252,7232701,179,1128
11107-11580,7072015,196,1735
11009-10529,7025739,163,969
10657-10431,6992950,166,1139
10733-14255,6984990,142,1155
10503-13015,6935037,139,928
10767-12583,6892004,167,1937
11037-13831,6890002,256,1101
10844-11454,6836021,143,1122
10911-11473,6824541,165,1557
10272-11178,6741172,165,1596
10454-13218,6724541,166,1545
11046-13884,6711341,136,1292
10270-14155,6655576,149,1153
10639-10507,6643648,128,1338
10368-13618,6568527,159,1239
10470-10161,6467531,169,1247
10053-10868,6332286,174,864
10082-14113,6330968,163,1425
10741-13976,6319251,172,1070
10358-13170,6274824,182,1404
10387-11196,6265226,136,1221
10998-12888,6259143,141,1263
10519-14489,6213696,137,959
10511-10742,6191278,154,1495
10502-11690,6182346,136,913
10903-12658,6167564,162,1221
10837-11178,6112217,159,1425
10664-13650,6098473,157,1410
11028-13420,6096170,100,966
10866-10027,6081768,190,1545
11021-13133,6045258,144,1227
10999-12431,5990608,173,1404
10861-10693,5969436,148,1473
10076-10215,5895906,163,1363
10951-12923,5890785,150,1252
11037-12653,5881943,135,1194
10465-14086,5850415,136,1364
10963-12646,5807869,170,1809
10535-11884,5800981,147,1234
11119-11663,5772661,160,1326
10663-13677,5765523,132,843
10868-14198,5734000,166,1263
10748-11166,5724474,168,1570
11022-13063,5705676,157,1746
11069-13628,5699927,155,1501
10472-13970,5677252,135,1284
10465-13831,5524345,167,1374
10297-10741,5511925,128,765
10552-12316,5488004,136,1509
10965-12925,5448184,139,1207
10903-11252,5429703,165,1417
10325-10752,5408525,155,1200
10383-12718,5379034,134,984
10471-12534,5324718,119,609
10396-10408,5315590,165,1375
10304-13097,5314921,160,841
10827-12337,5313851,200,1209
11070-12210,5297776,149,1151
10360-13369,5286527,129,945
11050-13778,5270646,146,1800
10956-10642,5241404,165,1383
10736-11917,5236432,129,1029
10290-11320,5221537,133,981
11016-13696,5215681,135,975
10777-10507,5214255,142,1033
10748-12566,5142628,131,1197
10398-12052,5139119,153,937
10875-12148,5096559,117,991
10107-11554,5053614,161,1281
10687-13861,5052294,140,1047
10818-12431,5008525,147,981
10107-13614,4968708,153,1641
10631-10245,4954477,143,1194
10398-12347,4933713,120,790
10922-11479,4862231,134,1068
10693-12323,4861501,147,925
10019-10762,4836498,134,990
10593-11865,4801525,130,1344
10644-10177,4750031,162,1476
10398-12111,4712558,140,1470
10992-10978,4698249,158,1078
10591-10323,4667812,164,1201
10694-12304,4655072,155,861
10560-10495,4649857,127,931
10503-10558,4643647,139,1410
10952-13933,4620916,146,1651
10882-12671,4572089,141,792
10808-10213,4549118,140,1350
10963-10650,4529141,120,829
10636-12807,4525316,144,1017
10211-10771,4523037,148,1317
10387-13904,4489628,133,1131
11046-13602,4483512,123,1374
10748-11384,4469538,129,1083
10446-14133,4466758,134,1502
10313-12401,4379126,147,1149
11060-13841,4355482,130,702
11002-12333,4250998,133,1047
10842-14809,4229161,131,1005
10378-14743,4224559,155,936
10654-13259,4215782,141,1191
11028-12589,4214028,143,1140
10270-11445,4183858,134,1463
10963-12362,4145373,136,735
10975-11031,4126612,123,1275
11092-11057,4065858,138,1138
10280-14171,4033646,122,771
10082-12022,4030416,130,802
10739-10943,3978066,124,872
10325-14418,3962938,156,990
10891-13190,3948068,140,1191
11059-14640,3944864,108,966
10970-12253,3943373,126,655
10808-12459,3943176,121,720
10416-10961,3939572,142,1641
10968-11932,3917763,150,1212
10373-12081,3902389,147,972
10903-12488,3901642,162,1043
10408-13011,3889926,133,1116
10154-11472,3856876,148,901
10761-13392,3849589,122,1929
10903-14572,3845844,126,711
11026-14488,3831293,135,1300
10227-11463,3830236,149,1450
10146-10665,3814772,152,1234
10742-12703,3807075,133,945
10319-14347,3780069,137,936
10542-14356,3769164,112,875
10345-10681,3762349,130,772
10664-14383,3755479,111,1437
10757-13759,3736432,165,1104
10285-13937,3733000,133,1279
10643-11712,3730861,145,766
10901-13666,3729258,130,903
10882-13937,3714273,96,786
10534-12135,3706086,143,915
10386-10155,3700030,136,1375
10238-12877,3683290,129,1101
10291-13282,3655618,156,1101
10984-14422,3648761,100,879
10903-10541,3634581,130,1044
10970-13286,3625809,137,1452
10741-14389,3603862,144,1128
10502-12549,3601199,161,1350
10970-13915,3596243,139,938
10757-12878,3584389,148,1183
11046-12430,3569774,148,1333
10303-13816,3543189,114,826
10966-12706,3528251,123,810
11001-12133,3503597,121,1068
10537-14328,3474001,139,1191
10596-13618,3461422,128,614
10968-14214,3459764,119,954
10697-10910,3458961,115,982
10326-11998,3455470,113,720
10114-12344,3452495,144,1477
10365-12668,3436644,114,690
10265-13564,3425065,124,900
10744-11362,3413265,164,1005
10527-12517,3393073,133,1271
10723-10474,3392077,142,1044
10695-11477,3387445,129,1059
10076-12324,3379765,143,1254
10742-13466,3373407,127,1107
10604-10638,3373055,136,1458
10631-12726,3352954,111,747
10631-11458,3345963,125,1633
10688-11276,3335336,110,949
10658-11601,3313875,74,511
10664-10379,3279317,108,712
10695-14200,3276542,108,950
10542-13851,3263100,141,1038
10910-13749,3261641,139,1014
11044-14746,3258489,112,921
11036-11725,3244808,149,1164
10221-12562,3238094,118,831
10076-13271,3215352,118,963
11069-11092,3204503,134,1435
10666-14329,3202063,133,894
11111-12587,3199562,127,690
11046-12027,3173474,134,1488
10285-11622,3167875,104,775
11005-13495,3165292,146,988
10629-11607,3157023,149,1050
10227-11677,3133086,93,483
11013-12040,3051945,117,1117
10748-12597,3048289,109,930
10970-11689,3047507,116,1200
10640-10111,3016281,115,1083
10861-12411,2986581,147,963
10281-12602,2984992,103,1000
11037-13074,2974943,136,891
10691-14201,2938473,100,510
10808-10172,2917556,120,729
10631-12091,2914631,130,723
10995-11924,2911061,134,822
11115-11618,2900135,143,966
11026-10121,2899277,128,927
10212-12515,2888763,122,993
10618-13537,2870175,116,1017
10413-12815,2868041,117,2116
11060-12983,2860580,116,735
10829-14489,2854142,102,690
10239-13059,2848826,100,840
10726-11184,2824167,102,1102
10234-12574,2820371,134,1260
11021-12541,2811864,127,1356
10636-11952,2810067,125,909
10979-12340,2810046,118,870
10676-11008,2808038,113,942
10654-10831,2798952,128,834
10466-10803,2795908,118,1005
10952-12943,2771180,127,798
10143-14239,2768841,96,819
10313-12851,2751767,128,1333
10446-14608,2737412,107,528
10970-11511,2732613,113,1245
10857-11345,2727755,110,573
10105-12608,2693422,144,988
11026-13702,2693250,140,1296
10742-13277,2692083,123,1047
10664-13274,2684912,144,1047
10387-13335,2681241,113,942
10396-13683,2673178,113,741
10748-14018,2669248,125,636
10290-12440,2641477,107,850
11046-13437,2628598,108,666
10146-12800,2605780,104,679
10748-13300,2600743,119,1282
10628-11797,2592312,139,1436
10863-11423,2590615,135,1165
10170-11678,2586855,117,661
10970-11397,2586353,150,1344
10744-12788,2580432,89,802
10301-13010,2574623,118,471
10576-10658,2564087,94,523
10616-13371,2546212,111,733
10700-12032,2545334,121,919
10325-10615,2536125,118,883
10392-13056,2528800,121,723
10392-10812,2523385,110,1005
10747-11424,2512852,106,1080
10328-13918,2511223,111,746
10397-11056,2511107,112,882
10808-14532,2465853,74,627
10881-12742,2451288,128,1023
10552-14589,2450260,119,615
11095-14629,2436008,87,1305
10826-12503,2419313,122,1296
10836-12647,2418379,114,760
10747-12895,2418160,123,918
10007-13448,2417816,119,578
10981-13096,2413737,130,1119
10470-12922,2388596,108,844
11050-11949,2382793,98,643
11115-11046,2379370,109,795
10963-13965,2369774,129,1033
10596-10177,2361928,125,894
10378-11866,2359455,121,1264
10863-13447,2334585,98,576
10675-13382,2324217,91,1107
10311-12483,2309360,125,1033
10737-13529,2306106,118,777
10876-11562,2288752,126,1014
10970-12310,2287755,124,834
10174-11823,2287023,99,906
10685-12163,2259026,116,697
11069-11191,2247465,108,874
10463-13071,2218463,129,703
10663-14301,2206504,108,690
10197-11918,2204504,98,722
10117-10098,2190664,114,741
10212-11225,2184677,102,714
10125-11133,2154825,122,943
10763-12770,2137462,104,675
10861-10983,2120135,122,558
10036-11248,2118293,92,648
10640-11073,2112862,118,828
10328-13240,2092857,110,984
10748-13072,2079708,118,927
10128-13714,2072966,92,600
10290-12114,2072634,144,1291
10957-11143,2057249,120,828
10767-10390,2041013,108,1029
10628-13663,2031141,102,964
10969-15166,2029494,98,642
11023-13233,2020204,82,1333
10510-14014,2019830,112,433
10463-10418,2019307,135,1152
10206-13358,2009934,91,816
11026-13922,2004762,104,759
10673-12242,1967551,118,855
10886-11827,1967453,81,509
10174-10068,1944240,90,591
10535-12750,1937547,87,446
11046-11685,1933782,113,567
11012-12157,1925495,100,853
10863-12986,1898984,138,979
10957-10479,1897228,115,847
10996-11633,1872161,100,804
10487-11728,1859369,97,675
10004-14472,1858850,96,387
10505-10635,1852760,101,642
10962-13373,1851167,107,753
10413-11787,1803944,102,619
11074-10994,1802164,81,576
10324-12755,1787134,109,951
10579-12637,1768776,87,624
10656-13366,1764727,110,654
10876-14442,1747545,115,972
10958-11409,1745708,131,714
10644-11596,1736372,101,636
10995-11659,1733356,100,402
11069-12804,1707997,99,672
10742-14281,1705979,110,780
10684-11135,1703573,133,1035
11046-11372,1702659,91,567
10748-13212,1701744,101,1140
10936-12737,1674211,101,676
10123-10833,1673648,107,708
10748-12555,1650006,96,717
10615-11358,1633844,118,1011
10970-13364,1630350,101,1332
10897-10699,1623654,80,582
10640-11751,1623579,100,720
10777-10525,1622338,83,684
10722-13484,1617701,94,447
10700-13728,1616645,91,484
11026-10114,1615353,95,795
10969-13137,1609650,73,702
10348-11831,1603964,101,552
10594-13392,1598149,98,806
11046-12563,1582943,87,563
10007-13515,1575519,96,576
10590-11561,1541825,106,762
10871-10117,1533691,129,942
10767-10101,1530509,98,780
10747-13417,1526054,103,636
10369-14148,1518737,95,877
10396-10175,1501370,88,909
10468-14279,1501135,101,753
10982-13280,1475961,108,663
10695-12615,1472782,84,478
10661-13116,1468954,96,607
10413-13342,1466001,94,810
10729-11206,1454821,87,701
10952-10610,1423430,98,793
10970-13407,1414195,94,729
11054-10717,1413735,65,468
10238-13953,1409157,97,576
10804-11078,1387311,106,750
10017-10329,1380502,88,579
10996-13831,1364580,94,700
11119-11720,1354310,99,759
10739-12888,1344012,106,741
10973-11869,1342495,85,657
10596-11328,1328075,80,412
10971-12685,1321478,104,475
10726-13303,1319083,124,969
10693-14394,1313853,76,699
10963-13122,1311859,97,993
10654-13373,1302169,89,535
10491-13598,1295577,77,510
11079-10471,1285065,91,744
11067-11195,1284169,109,541
10227-12748,1269516,95,778
10659-13012,1263826,86,913
10921-10426,1257921,73,667
10987-10928,1252469,91,483
10695-13628,1247005,82,544
10775-10145,1243757,108,822
10968-13111,1231268,97,748
10748-10296,1194882,100,957
10683-14271,1194675,84,573
10198-13830,1191111,112,738
10750-11570,1171260,59,324
10514-11568,1160994,61,381
10454-12420,1134155,96,624
10199-11140,1132600,81,321
11041-12674,1132333,81,594
10417-10734,1122447,96,699
10641-13234,1119344,86,411
10614-13583,1118482,104,1027
10919-13775,1117081,95,564
10748-11609,1116534,96,765
10700-11070,1115452,89,573
11073-13124,1112918,115,798
10303-11291,1103777,82,486
11107-10738,1084320,99,664
11119-13815,1082324,99,918
10955-14458,1076197,43,824
10208-13432,1075977,94,475
11026-13625,1073391,63,634
10932-10753,1072462,78,612
10538-13884,1071724,69,1014
10970-12450,1057044,72,777
10358-10108,1053131,91,418
10723-10872,1049624,57,410
10661-10021,1045784,77,489
10503-12120,1038357,81,591
10146-14620,1036230,71,531
11050-13005,1032146,98,669
10429-13344,1014688,88,606
10033-11213,1013983,61,324
10492-13978,1009481,48,727
10563-13984,1005982,89,996
10654-13228,1002975,79,616
10907-13226,1002432,59,705
10680-12659,996856,78,480
10676-11533,995287,83,542
10756-10201,991309,63,718
10073-10636,984237,90,621
11092-10388,975569,71,582
10752-12877,975133,64,591
10891-12039,971421,83,466
10931-13771,963657,100,819
10810-13365,955078,59,441
10752-12999,954602,73,505
10822-14197,952135,63,553
11009-12785,945273,81,417
10341-11721,944515,54,315
10213-11532,943855,53,279
10580-13393,938954,61,582
10570-13799,935191,74,618
10502-10641,929936,100,267
10640-10629,920767,68,465
11079-12827,913729,79,522
10973-13622,896572,82,924
10638-13285,895919,85,837
10872-14257,893293,83,769
11046-11396,889460,87,411
10238-10790,884506,79,582
10963-13912,883549,101,713
10869-12609,877822,67,792
10748-11200,876065,95,642
10262-15086,851293,82,568
10304-13481,843872,67,358
10397-10704,840033,94,411
10879-11803,836602,94,831
10666-11545,833647,73,720
10595-10379,831467,74,699
10313-11787,830058,64,726
10161-10481,828596,88,663
10185-12105,827515,71,537
10693-12775,824732,82,540
10936-14891,822114,82,605
11119-12703,820768,88,546
10601-11638,804457,44,694
10761-14083,802224,45,373
10304-14129,801989,82,705
10686-14265,795002,62,735
11001-12196,790992,78,450
10549-10886,786771,88,348
11071-10430,784691,86,612
10890-12650,754982,66,336
10885-10534,745155,49,384
10712-12569,740443,72,402
10748-12524,740150,69,756
10618-13432,739523,68,516
10580-11690,732030,66,357
10348-10423,728745,64,480
10101-14802,728672,90,669
10125-11031,722498,65,474
10956-13854,719945,46,531
10850-13107,719852,78,601
10748-12999,713932,98,549
10787-11725,711746,70,393
10238-10045,711510,54,303
10892-10111,710394,67,588
10640-14285,710260,52,403
11106-14400,705295,71,525
10763-10449,701110,85,621
10863-14178,694063,70,418
10815-13594,661678,64,327
10924-12463,652996,63,396
10519-12155,648591,71,705
10863-10402,642687,88,546
10667-14349,633837,85,585
11024-13997,629209,89,558
10273-11709,622891,66,468
10741-11469,622471,77,594
10495-14244,621803,63,388
10078-11374,614746,58,432
10777-10198,594304,40,255
10659-14523,583754,76,543
11030-10730,583340,48,342
10017-13527,581297,30,630
10259-13519,581222,67,440
10896-13866,551248,58,486
10559-10111,545678,58,435
10744-10891,539610,56,372
10956-11817,536315,41,564
10076-10334,524715,73,291
10392-11027,523039,64,525
10315-12834,519065,48,336
10739-12068,512722,67,333
11071-13660,511289,66,384
10911-10841,509425,43,435
10542-11534,506093,78,669
10393-10554,498890,60,420
10547-12272,495538,53,726
10026-10377,492398,69,384
10810-13660,486864,31,702
10896-10542,486861,68,322
10969-13357,485695,45,274
11052-13876,485225,63,273
10869-12603,482841,59,442
10675-10754,479254,73,570
10659-11609,471300,52,489
10601-14407,470134,29,1017
10212-14381,465954,52,414
11126-11042,462216,53,333
10080-11806,454464,65,486
10708-10055,449973,45,558
10549-10360,442283,13,313
10688-12831,440053,66,387
10659-11598,430907,53,546
10629-13994,419790,56,549
10990-10401,417262,49,630
10998-14072,404040,70,486
10796-12964,401236,56,429
10019-11260,401226,55,259
10424-13346,398847,63,426
10728-12760,387274,65,349
10541-10051,386762,58,336
10397-11343,385603,59,381
10858-10515,380065,31,484
10964-11307,378993,37,472
10654-14360,377672,39,294
10490-10557,376938,45,423
10631-10864,371702,39,324
10436-12772,364006,39,577
10317-11134,363636,20,468
11002-13246,354036,57,460
10658-10435,348319,31,433
10072-12395,346892,67,558
10901-14675,346275,24,429
10970-13632,345371,37,300
10778-13947,343772,45,292
10915-14199,342628,46,591
10748-13849,342216,16,540
11065-10478,335859,28,313
10869-12810,331754,42,306
11097-10823,329109,51,234
10998-11383,327563,59,523
10114-14538,319194,29,369
10820-11958,317585,39,468
10607-12369,311891,40,363
10652-13134,307747,50,624
10591-12819,306833,36,272
10424-10212,304144,40,292
10578-10302,304025,48,510
10376-12202,301265,47,432
10304-12281,297315,41,327
10584-11564,289552,41,371
10936-11700,283155,28,396
11067-10924,280123,53,243
10658-11576,268032,36,231
10278-12546,266623,51,348
11023-10193,266501,53,405
10461-13753,256291,70,885
10271-14620,255501,33,615
10537-11583,248872,48,360
10995-14114,248634,41,417
10838-11451,245663,27,471
10675-10789,243729,19,375
10235-13274,239137,21,317
11005-13837,238504,30,531
10665-12508,228448,40,273
10368-13268,224948,17,393
10084-10618,223158,25,309
11106-13595,219662,47,246
11110-14345,218127,9,372
10803-13858,217789,17,277
10457-10364,212875,50,477
10764-13704,204697,35,267
10906-13907,204127,42,542
10777-10200,201899,49,255
10815-10173,201653,25,306
11040-14440,194086,48,373
10684-13285,190915,28,345
10019-13309,187705,17,609
10969-13871,181981,19,210
10956-11351,179559,48,399
10401-11190,176553,39,430
10273-10953,167608,39,252
10293-13819,166891,12,348
10527-12494,162254,45,267
10694-13175,162007,37,501
10619-10911,160441,39,459
10535-14547,159704,15,333
11055-12338,158616,36,438
11067-11877,151869,37,238
10673-11887,150512,9,264
11071-11563,142816,38,201
11026-14489,142651,39,426
11081-14016,141942,25,330
11012-13702,140195,21,435
10963-10290,127889,15,241
10746-14411,124655,26,607
10669-10972,123682,39,456
10640-11860,120713,39,276
11023-12753,119716,21,219
10340-11754,118709,40,366
10574-10697,117728,28,249
10446-11285,116610,37,345
10861-13383,102658,35,417
10632-14406,100269,8,264
11071-14344,98249,12,457
10869-12077,96242,27,360
10535-11512,95674,27,181
10283-14508,93770,14,358
10970-13233,89992,26,228
10684-12000,89882,16,270
11106-12687,87733,15,294
10857-15072,79405,22,255
10804-14750,76286,12,309
11044-10381,74644,34,558
10750-13587,74210,19,326
11112-11772,66613,4,216
10532-14298,52178,15,297
10397-13782,49467,14,265
10037-15195,48340,18,207
10630-10399,45206,21,201
10901-13498,44576,23,147
10788-11990,44214,15,339
10850-12499,39792,21,219
10561-13640,35491,6,168
10143-14262,34773,13,367
10707-14860,32831,20,162
10898-12994,28973,23,498
10424-13507,27193,17,270
10410-10662,25662,20,288
10367-14547,21247,15,621
10957-14584,19993,17,273
10714-11333,19667,14,300
10400-11033,19176,12,258
10404-11704,17647,16,429
10666-10557,16064,11,114
11067-11909,15260,11,90
10149-11084,15151,13,312
10211-13877,15053,11,249
10663-12152,14167,12,258
10723-11944,12784,12,294
10545-14341,11421,10,77
10696-11996,7839,6,411
10590-14315,6731,6,279
11107-11787,4520,5,95
11057-11102,3389,4,87
11110-11410,3387,4,228
11109-13487,3381,2,85
11036-13780,2261,3,77
